Coin,5m,15m,30m,1h,2h,4h,12h,1d
ROSEUSDT,47.1,50,45.8,39.1,37.1,35.3,43,43.6
SKLUSDT,57.6,56.2,48.1,37.7,34.2,32.7,39.8,39.5
GRTUSDT,49,44.9,38,31.9,28.1,28.3,37.5,40
1INCHUSDT,46.5,39.7,32,21.2,18.6,18.6,29.6,36.7
REEFUSDT,67.2,56.5,48.2,41.2,37.1,35.2,43.7,43.9
CELOUSDT,47.7,41.2,35.8,31.6,27.2,29.8,39,40.9
RIFUSDT,57.4,48.8,40.8,32.5,29.6,27.2,35.3,33.5
TRUUSDT,49.7,46.3,43.9,42.3,39.9,36.2,42.1,42.8
CKBUSDT,69.3,49.9,41.8,39.5,38.8,38.8,45.4,46.2
TWTUSDT,54.2,55.7,50.6,42.7,38.5,33.5,36.3,38.4
LITUSDT,58.6,52.4,46.9,40.3,37.5,36.2,39.5,37.2
SFPUSDT,50.4,49.4,44.5,38,34.2,35.4,43,46.6
CAKEUSDT,55.6,49.1,38.3,32.8,32.7,31.7,37.6,37.9
BADGERUSDT,52.5,50.7,45.8,40.7,38.1,37,44.1,43.9
OMUSDT,47.2,51.1,50.6,47.1,42.9,41.2,53.1,60.8
ALICEUSDT,58.1,48.3,39.8,32.2,26.4,30.2,41.6,42.1
LINAUSDT,48.9,44.9,40.1,33.6,30.7,28.7,34.7,34.4
PERPUSDT,58.7,60.3,56.6,47.3,42.6,38.2,39.1,37.5
SUPERUSDT,56,50.9,49.8,49.4,52.3,53.7,58,54.2
CFXUSDT,59.1,48.3,39.3,35.1,32.8,29,36.9,40.7
TLMUSDT,49.1,44.6,38.8,31.8,28.7,30.1,39.3,40.6
BAKEUSDT,50.6,46.5,40.9,33.7,28.6,29.1,34.9,40.6
ICPUSDT,45.8,48.5,48.4,46.1,42.9,41.6,50.9,53.5
ARUSDT,66,56.8,47.2,41.4,37.7,38.6,49.1,50.8
MASKUSDT,49.2,42.5,38.4,33,28.6,30.6,37.4,38.4
LPTUSDT,50.9,45.7,38.5,33.7,30.4,31.5,40.5,41
XVGUSDT,60.3,52,43.6,38.5,36.3,33.9,41.3,44.1
ATAUSDT,51.2,45.1,38.5,32,28.6,29.8,38.2,36.1
GTCUSDT,60,50,47.7,49.5,52,53.6,54.6,47.4
KLAYUSDT,46.4,41.7,35.4,28.9,27.4,24.6,31.6,32.5
C98USDT,45.7,40,30,25.1,24.3,23.5,30.5,31.5
QNTUSDT,57,54.2,47.2,40.9,39.7,33.4,38.9,40.3
FLOWUSDT,52.1,45.4,42.3,44,48,49.5,53.3,50.8
MINAUSDT,46.9,42.9,39.1,33.9,29.8,28,38.7,39.2
WAXPUSDT,49.3,42.6,36.3,31.8,25.5,30.7,38.1,39.6
DYDXUSDT,53.5,49.8,44,37.5,35.9,34.4,37.9,37.3
GALAUSDT,50,47.1,39.9,34.9,33.6,32.3,40.5,38.2
ILVUSDT,44.5,44.1,39,35.9,35.9,38.4,45.1,46
YGGUSDT,55.8,50.7,42.5,34.9,34,34,37.7,35.1
FRONTUSDT,54,44.7,37.9,32.7,28.3,27.9,38.2,38
AGLDUSDT,63.6,51.4,43.1,36.3,34.8,34.7,41.5,41.2
AUCTIONUSDT,49.9,52.3,51.2,48.7,48.8,49,52.2,50.2
DARUSDT,52.3,47,44.6,41.1,38.9,37.2,52.7,58.2
BNXUSDT,25.1,14,15.4,18.1,20.7,28,41.2,47.8
MOVRUSDT,44.6,42.5,36.8,28.4,32.1,32.1,40.7,42.8
ENSUSDT,47,40.2,27.7,25.6,34.1,40.2,45,48.5
POWRUSDT,54.4,46.7,39,34.7,29.9,35.7,43.7,44.7
JASMYUSDT,53.1,47,40.1,37.2,36.3,34.1,42.8,44.2
BICOUSDT,47.4,42.4,37.4,30.3,27.2,27.1,34,37
FXSUSDT,44.4,42.9,36.7,31.5,26.4,24.9,31.4,28.1
HIGHUSDT,56.1,46.6,40.7,33.7,29.9,33.2,40,34.1
PEOPLEUSDT,68.5,61.6,53,47.3,45.7,43.9,47.8,48.9
SPELLUSDT,54.1,42.9,37.7,30.8,30.7,30.5,39.1,38
JOEUSDT,48.3,40,36.8,29.2,33.8,39.9,49.3,50.9
ACHUSDT,61.4,52.9,49.6,46.9,48.2,45.2,47,47.8
IMXUSDT,50.1,44.1,36.5,32.6,32.5,33.3,44,43.9
API3USDT,48.6,43.3,38.9,35.3,32,31.2,37.3,37.6
WOOUSDT,49.4,46.2,40.3,33.7,34.1,33.8,41.2,39.2
TUSDT,49.9,41.9,35.5,31.3,27.7,28.8,41,41.3
ASTRUSDT,59.2,53.9,47.8,42.9,37.1,32,41.9,43.3
GMTUSDT,54.6,46.5,41.5,35.7,33.9,32.4,38.2,37.3
APEUSDT,52.4,47.1,40.6,34.6,34.4,35.6,40,37.7
STEEMUSDT,53.4,49.2,41.1,34.5,34.1,36.7,44,44.7
LDOUSDT,53.5,47.4,38.8,31.5,27.9,28.1,34.9,37.1
OPUSDT,53.1,48.6,36.3,30.6,30.8,33.6,40.8,43.6
LEVERUSDT,57.5,51,44.5,39.7,33.4,29.3,33.8,39.7
STGUSDT,57.8,51.5,44.1,37.4,33.8,33.1,41.4,38.7
GMXUSDT,15.3,23.7,25.1,22.5,24,28.1,42.7,45
POLYXUSDT,52.7,43.9,39.7,37.7,35.7,34.1,41.4,41.5
APTUSDT,46.6,43.1,35.4,32.5,31.1,30.2,40,44
HFTUSDT,54,45.1,38.3,33.9,36.3,35.6,44.4,43.5
PHBUSDT,68.8,60.3,49.6,41.5,38.3,35.2,40.6,41.1
HOOKUSDT,49.2,35.4,27.3,24.2,30.4,32.8,41.1,40.8
MAGICUSDT,58,58.6,52.6,44.4,39.4,35,35.2,34.4
HIFIUSDT,66.5,55.3,47.7,43.4,43.5,45.7,51,49.4
SSVUSDT,49.7,42.4,30.9,28,27.4,30.4,35.1,38
LQTYUSDT,54.2,51,44.6,38.7,33.6,30.1,36.8,37.5
AMBUSDT,55.8,52.7,44.1,37.9,30.8,29.1,33.9,36.4
USTCUSDT,61.4,54.6,45.3,41.3,42,42,48.6,50.4
GASUSDT,54.9,47,40.6,35,29.8,31.9,41.4,44
GLMUSDT,38.7,32.5,28.9,28,31.2,34.7,42,42.2
IDUSDT,51.3,48.9,43.9,40,35.5,35.2,43.6,43.7
ARBUSDT,51.7,41.2,30.5,24.9,29,32.5,40.5,41.1
LOOMUSDT,49.6,45.1,37.4,28.5,24.6,36.3,47.4,49.3
RDNTUSDT,52.8,44.2,34,28.2,28.4,29.5,33.6,31.6
EDUUSDT,50.3,40.1,30.4,27.3,26.7,30.3,38.9,43
SUIUSDT,58.6,48.4,39.4,31.9,29.9,29.4,36.6,40.8
COMBOUSDT,50.4,46.9,41.8,35.8,31.4,29.9,31.8,32.4
MAVUSDT,59.2,53.3,47.1,40.3,37.6,34.4,35.5,32
PENDLEUSDT,66.1,55.4,44.9,32.8,30.3,28.9,33.6,36.7
ARKMUSDT,58.3,52.1,47.3,38,35,30.6,38.4,38.1
WLDUSDT,61.2,55,51.2,47.4,45.1,36.6,43.9,41.6
SEIUSDT,50.9,48.9,45.6,39.4,38.3,38.2,45.5,47.8
CYBERUSDT,57.1,51.9,45.5,39.9,35.1,33.9,36.2,32.7
ARKUSDT,57.5,49.8,42.4,37.2,34.4,37.8,43.5,39.2
NTRNUSDT,52.5,48.2,41.4,32.3,30.2,30.9,40.3,42.6
TIAUSDT,50.7,41.4,32.7,24.9,24.2,26.8,38.5,41.4
MEMEUSDT,51.6,50.4,44.5,37.1,36.6,34.1,39,38.3
ORDIUSDT,60,46.1,39,35.5,31.9,32.6,41.3,43.4
BEAMXUSDT,61.2,55.8,49.8,41.8,37.1,35.6,45.3,46
BLURUSDT,46.6,39.6,31.1,27.1,28.8,29.6,40.8,38.8
VANRYUSDT,56.7,47.8,39.5,35.3,32.5,30.3,40.2,40.2
JTOUSDT,66.7,59.1,58.6,59.2,59.9,57,59.1,56.4
1000SATSUSDT,63,56.5,54.4,53.8,55.3,53.7,58.5,58.8
ACEUSDT,56.2,44.3,35.6,27.4,29.1,30.2,34.9,31.8
NFPUSDT,40.3,41.1,36.4,32.3,32.9,34,40.5,38.7
AIUSDT,51,46.9,40.7,32.5,27.5,29.6,34.9,31.2
XAIUSDT,46.5,42.6,37.2,30.4,31.8,32.4,38.6,33.9
MANTAUSDT,56,50.5,41.7,31.9,33.8,32.5,40.1,39.4
ALTUSDT,46.1,36.8,31.3,28.5,30.1,29.4,38.3,34.3
JUPUSDT,47,46,45.8,45.6,46.2,46.1,54.4,55.3
PYTHUSDT,57,58.5,58.4,56,56.3,53.9,56.3,54.8
RONINUSDT,53.2,34.2,23.1,17.2,19.3,21.7,35.6,38
DYMUSDT,55.2,47.9,42.5,35.4,25.9,25.5,40.2,44
PIXELUSDT,58.1,48.9,40,31.4,30.5,31.3,37.1,32.6
STRKUSDT,56,48.1,39.6,31.2,32.2,32.8,38.4,31.4
PORTALUSDT,52.6,46.4,38.3,29.8,28.1,28.4,34.3,31.6
AXLUSDT,46.2,46.7,44.7,39.6,36,34.7,42.4,43.1
WIFUSDT,56.4,55.4,52.6,49.6,48.1,48.7,58,57.9
METISUSDT,49.3,38.6,31.2,27.7,29.7,33.1,44.6,44
AEVOUSDT,64.9,49.3,33.6,25.7,26.2,31.4,38.5,40.2
BOMEUSDT,51.9,41.8,35.5,32.9,30.2,30.9,39.4,41.4
ETHFIUSDT,52,41.6,33.7,21.5,28.3,31,38.4,34.8
ENAUSDT,54.7,48.1,37.5,36.2,39.3,41.7,44.3,40
WUSDT,56.1,46.1,34.7,25.2,26.7,30.7,38.6,36.1
TNSRUSDT,47.2,39.2,33.2,30.5,30.3,29.3,36.1,34.5
SAGAUSDT,38,24.8,19.1,18.3,21.5,25.4,36.8,38.6
TAOUSDT,42.2,43.7,42.9,43.6,46.7,46.7,54.1,55.1
OMNIUSDT,46.2,35.5,28.2,21.6,20.4,23.7,33.3,34.5
REZUSDT,49,44.1,32.5,27.7,32.2,35.6,38.2,34.4
BBUSDT,45.7,43.8,41.8,38.1,24.8,25.5,33.9,37.4
NOTUSDT,57.8,49.5,42.9,37,32.8,30.6,35.4,40.7
IOUSDT,55.1,53.2,46.3,41,39.4,40.5,44.7,45.1
ZKUSDT,55.5,45.9,37.5,30.1,30,34.6,41.3,42.2
LISTAUSDT,45.7,39.4,34.4,34.8,35,38,42.7,44.5
ZROUSDT,46.3,37.7,32,32.4,32.7,38.6,51,55.5
